country,country_code,city,begin_postal,end_postal,parcel_pickup_tier,freight_pickup_tier,parcel_delivery_tier,freight_delivery_tier
Albania,AL,Berat,,,B,B,B,B
Albania,AL,Durres,,,B,B,B,B
Albania,AL,Elbasan,,,B,B,B,B
Albania,AL,Fier,,,B,B,B,B
Albania,AL,Kavaje,,,B,B,B,B
Albania,AL,Kruje,,,B,B,B,B
Albania,AL,Kucove,,,B,B,B,B
Albania,AL,Lac,,,B,B,B,B
Albania,AL,Lezha,,,B,B,B,B
Albania,AL,Lushnje,,,B,B,B,B
Albania,AL,Shkodra,,,B,B,B,B
Albania,AL,Vlore,,,B,B,B,B
Andorra,AD,Andorra,,,No,No,B,B
Andorra,AD,Andorra La Vella,,,No,No,B,B
Andorra,AD,El Serrat,,,No,No,B,B
Andorra,AD,Encamp,,,No,No,B,B
Andorra,AD,Les Escaldes,,,No,No,B,B
Andorra,AD,Sant Julia De Loria,,,No,No,B,B
Andorra,AD,Solden,,,No,No,B,B
Antigua,AG,Codrington,,,B,B,B,B
Argentina,AR,12 De Agosto,,,B,B,B,B
Argentina,AR,25 De Mayo,,,B,B,B,B
Argentina,AR,28 De Noviembre,,,B,B,B,B
Argentina,AR,9 De Julio,,,B,B,B,B
Argentina,AR,A Maria,,,B,B,B,B
Argentina,AR,Abel,,,B,B,B,B
Argentina,AR,Acheral,,,B,B,B,B
Argentina,AR,Adela,,,B,B,B,B
Argentina,AR,Aguas Calientes,,,B,B,B,B
Argentina,AR,Aguas Verdes,,,B,B,B,B
Argentina,AR,Aguilares,,,B,B,B,B
Argentina,AR,Aimogasta,,,B,B,B,B
Argentina,AR,Alagon,,,B,B,B,B
Argentina,AR,Alamos,,,B,B,B,B
Argentina,AR,Albarellos,,,B,B,B,B
Argentina,AR,Albarino,,,B,B,B,B
Argentina,AR,Alberdi,,,B,B,B,B
Argentina,AR,Alberdi T,,,B,B,B,B
Argentina,AR,Alberti,,,B,B,B,B
Argentina,AR,Alcaraz,,,B,B,B,B
Argentina,AR,Alcira,,,B,B,B,B
Argentina,AR,Aldao,,,B,B,B,B
Argentina,AR,Aldea Beleiro,,,B,B,B,B
Argentina,AR,Alderete,,,B,B,B,B
Argentina,AR,Alejandro Stefanelli,,,B,B,B,B
Argentina,AR,Alejo Ledesma,,,B,B,B,B
Argentina,AR,Algarrobal,,,B,B,B,B
